"date","depth","temperature"
2015-06-05,24,7.03379511079696
2015-06-05,25,6.5088003858894
2015-06-06,0,17.9691539983274
2015-06-06,1,17.9691398473972
2015-06-06,2,17.9444181290771
2015-06-06,3,17.8562758108056
2015-06-06,4,17.8219892550326
2015-06-06,5,17.777881187868
2015-06-06,6,16.6525346045627
2015-06-06,7,15.7101011362276
2015-06-06,8,14.2285910850911
2015-06-06,9,13.7962716515054
2015-06-06,10,13.2000465152547
2015-06-06,11,12.0723560058126
2015-06-06,12,11.3938011164326
2015-06-06,13,11.0783122017401
2015-06-06,14,10.7445294951669
2015-06-06,15,10.4092289955758
2015-06-06,16,10.1502461105935
2015-06-06,17,9.91769896471003
2015-06-06,18,9.58876893330849
2015-06-06,19,9.25287470033029
2015-06-06,20,8.90827202848574
2015-06-06,21,8.30927110155746
2015-06-06,22,7.44982113001479
2015-06-06,23,7.23809313744888
2015-06-06,24,7.02785446053074
2015-06-06,25,6.51925506942727
2015-06-07,0,18.2360071734043
2015-06-07,1,18.2229749561003
2015-06-07,2,18.1423817272297
2015-06-07,3,18.1241719311309
2015-06-07,4,18.097745396357
2015-06-07,5,18.046297029859
2015-06-07,6,17.026576713468
2015-06-07,7,16.0387501669281
2015-06-07,8,14.4344529044107
2015-06-07,9,13.8816324037113
2015-06-07,10,13.3296295214848
2015-06-07,11,12.3505869027279
2015-06-07,12,11.5471439675094
2015-06-07,13,11.1675556900404
2015-06-07,14,10.8225282642292
2015-06-07,15,10.482248920451
2015-06-07,16,10.1827762782825
2015-06-07,17,9.91061594329018
2015-06-07,18,9.5794630440966
2015-06-07,19,9.20475334300289
2015-06-07,20,8.74990747118952
2015-06-07,21,7.64005108625333
2015-06-07,22,7.29468414963084
2015-06-07,23,7.22266488626126
2015-06-07,24,7.03734585191688
2015-06-07,25,6.54354580645638
2015-06-08,0,18.9077903259986
2015-06-08,1,18.9077903259986
2015-06-08,2,18.907787662796
2015-06-08,3,18.9066525313024
2015-06-08,4,18.6451913331668
2015-06-08,5,18.1894656374825
2015-06-08,6,17.4139379958508
2015-06-08,7,16.3109655123397
2015-06-08,8,14.694410683921
2015-06-08,9,13.9670456084469
2015-06-08,10,13.4506374049762
2015-06-08,11,12.608150165797
2015-06-08,12,11.7379097516445
2015-06-08,13,11.2665806835547
2015-06-08,14,10.9001365397928
2015-06-08,15,10.5541914624655
2015-06-08,16,10.2512815858062
2015-06-08,17,9.96410499218358
2015-06-08,18,9.6608549128409
2015-06-08,19,9.19028131471767
2015-06-08,20,8.50919405527813
2015-06-08,21,7.47661260935316
2015-06-08,22,7.28442163683641
2015-06-08,23,7.21495874234408
2015-06-08,24,7.03414222637977
2015-06-08,25,6.55718235546587
2015-06-09,0,19.3046000898615
2015-06-09,1,19.3042241307137
2015-06-09,2,19.1924687132191
2015-06-09,3,19.0947353286028
2015-06-09,4,19.0479936062335
2015-06-09,5,18.484650427659
2015-06-09,6,17.4998655957986
2015-06-09,7,16.3397419417652
2015-06-09,8,14.736473311641
2015-06-09,9,13.9863250653427
2015-06-09,10,13.4571817272549
2015-06-09,11,12.6146624965515
2015-06-09,12,11.7524358581505
2015-06-09,13,11.2769634770079
2015-06-09,14,10.9031981694115
2015-06-09,15,10.5518666511816
2015-06-09,16,10.2450090673356
2015-06-09,17,9.95455993545746
2015-06-09,18,9.69687893874657
2015-06-09,19,9.3577135436999
2015-06-09,20,9.04379851187845
2015-06-09,21,8.49315522784015
2015-06-09,22,7.42397777853062
2015-06-09,23,7.22551931947388
2015-06-09,24,7.0345849711275
2015-06-09,25,6.57329912504036
2015-06-10,0,19.835289664894
2015-06-10,1,19.8352732087175
2015-06-10,2,19.8113508017423
2015-06-10,3,19.6354400911552
2015-06-10,4,19.5888398528505
2015-06-10,5,18.996792594422
2015-06-10,6,17.5914835558988
2015-06-10,7,16.3760047174579
2015-06-10,8,14.785701429332
2015-06-10,9,14.0100788206448
2015-06-10,10,13.4663704705483
2015-06-10,11,12.6237471512717
2015-06-10,12,11.7700221660729
2015-06-10,13,11.2898150431223
2015-06-10,14,10.9086676840231
2015-06-10,15,10.5521021031301
2015-06-10,16,10.2411883333462
2015-06-10,17,9.91432081091972
2015-06-10,18,9.59234614306888
2015-06-10,19,9.25040870103602
2015-06-10,20,8.85276478769314
2015-06-10,21,7.87696542860319
2015-06-10,22,7.30360998456003
2015-06-10,23,7.20922150178149
2015-06-10,24,7.03950360236556
2015-06-10,25,6.5921862140671
2015-06-11,0,19.9208564832038
2015-06-11,1,19.9208564832038
2015-06-11,2,19.9208564832038
2015-06-11,3,19.9208564832038
2015-06-11,4,19.9206020054687
2015-06-11,5,18.9648573639357
2015-06-11,6,17.3715495852408
2015-06-11,7,16.1536093579037
2015-06-11,8,14.5905005567544
2015-06-11,9,13.9543608558885
2015-06-11,10,13.3557553531293
2015-06-11,11,12.3896116336218
2015-06-11,12,11.6022637577763
2015-06-11,13,11.2022198739807
2015-06-11,14,10.8297809655417
2015-06-11,15,10.4680922104854
2015-06-11,16,10.153180943528
2015-06-11,17,9.83061256598811
2015-06-11,18,9.42942531248713
2015-06-11,19,9.10023963767212
2015-06-11,20,8.68540591983109
2015-06-11,21,7.5846793013733
2015-06-11,22,7.25940121352588
2015-06-11,23,7.1964281898634
2015-06-11,24,7.03140825288779
2015-06-11,25,6.59932441778598
2015-06-12,0,19.4538262935702
2015-06-12,1,19.4538262935702
2015-06-12,2,19.4538262935702
2015-06-12,3,19.4538262935702
2015-06-12,4,19.4538262882896
2015-06-12,5,18.6932267801541
2015-06-12,6,16.6612453131507
2015-06-12,7,15.2580411244558
2015-06-12,8,14.1661487769554
